congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
15,Senate,13,Democrat-Republican,33,-0.041,0.132,-0.07396969696969696,0.08069696969696971
16,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
16,House,1,Federalist,28,0.37,0.156,0.2581785714285714,0.012321428571428554
16,House,13,Democrat-Republican,173,,,0.031523255813953495,0.19742441860465118
16,Senate,1,Federalist,10,0.5994999999999999,-0.245,0.5972,-0.27809999999999996
16,Senate,13,Democrat-Republican,41,-0.026,0.052,0.012634146341463426,0.05636585365853659
17,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
17,House,1,Federalist,36,,,0.2758,0.03820000000000001
17,House,13,Democrat-Republican,165,,,0.04647852760736196,0.07988957055214722
17,Senate,1,Federalist,5,0.575,-0.237,0.5668,-0.2076
17,Senate,13,Democrat-Republican,48,0.034,0.0455,0.08245833333333333,0.044020833333333335
18,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
18,House,13,Democrat-Republican,4,,,0.34333333333333327,0.6073333333333334
18,House,1346,Jackson Republican,65,,,-0.0014062499999999943,0.416328125
18,House,6000,Crawford Federalist,2,0.202,-0.144,0.202,-0.144
18,House,7000,Jackson Federalist,7,0.153,0.338,0.13185714285714287,0.3691428571428571
18,House,7777,Crawford Republican,56,,,-0.1932181818181818,-0.19307272727272726
18,House,8000,Adams-Clay Federalist,15,0.289,0.04,0.24493333333333334,-0.1950666666666667
18,House,8888,Adams-Clay Republican,72,,,0.3231408450704225,0.04330985915492958
18,Senate,1346,Jackson Republican,12,-0.1835,-0.08349999999999999,-0.16058333333333333,-0.04266666666666666
18,Senate,7777,Crawford Republican,22,0.076,0.005999999999999998,0.10250000000000002,-0.058909090909090904
18,Senate,8000,Adams-Clay Federalist,5,0.57,-0.253,0.5224,-0.2444
18,Senate,8888,Adams-Clay Republican,14,0.23299999999999998,0.3745,0.22735714285714284,0.4375714285714286
19,President,22,Adams,1,0.396,-0.147,0.396,-0.147
19,House,22,Adams,113,,,0.22389285714285712,0.03234821428571428
19,House,555,Jackson,112,-0.189,0.28300000000000003,-0.18252678571428568,0.17816071428571426
19,Senate,22,Adams,26,,,0.3494,0.40732
19,Senate,555,Jackson,32,,,-0.09870967741935485,-0.21032258064516127
19,Senate,1346,Jackson Republican,1,-0.497,0.868,-0.497,0.868
19,Senate,7777,Crawford Republican,1,0.919,0.377,0.919,0.377
20,President,22,Adams,1,0.396,-0.147,0.396,-0.147
20,House,22,Adams,104,0.28200000000000003,0.11549999999999999,0.26475,0.09511538461538462
20,House,555,Jackson,118,-0.2205,0.242,-0.2137966101694915,0.170864406779661
20,Senate,22,Adams,23,0.37,0.558,0.3368260869565217,0.47900000000000004
20,Senate,555,Jackson,30,-0.0745,-0.23149999999999998,-0.09633333333333334,-0.1794666666666666
21,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
21,House,26,Anti Masonic,5,0.267,0.136,0.279,0.14340000000000003
21,House,555,Jackson,142,-0.2625,0.0505,-0.2432887323943662,0.0018309859154929436
21,House,1275,Anti-Jackson,74,,,0.2938356164383562,0.18787671232876713
21,Senate,555,Jackson,31,,,-0.1577333333333333,-0.1412
21,Senate,1275,Anti-Jackson,23,0.395,0.38,0.3876086956521739,0.42165217391304344
22,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
22,House,26,Anti Masonic,17,0.248,-0.033,0.25941176470588234,-0.010470588235294117
22,House,44,Nullifier,4,-0.3125,0.9085,-0.34324999999999994,0.8035
22,House,555,Jackson,130,-0.29,-0.08449999999999999,-0.27954615384615383,-0.05922307692307691
22,House,1275,Anti-Jackson,67,0.294,0.204,0.2892089552238806,0.20776119402985077
22,Senate,44,Nullifier,3,-0.04,-0.571,-0.03200000000000001,-0.5683333333333332
22,Senate,555,Jackson,29,-0.161,0.059,-0.20537931034482754,0.10848275862068969
22,Senate,1275,Anti-Jackson,23,,,0.4065454545454545,0.28277272727272723
23,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
23,House,26,Anti Masonic,26,0.315,-0.0195,0.32803846153846156,-0.05811538461538462
23,House,44,Nullifier,10,-0.3765,0.884,-0.40259999999999996,0.7947
23,House,555,Jackson,150,-0.2665,-0.267,-0.26661333333333326,-0.18761333333333335
23,House,1275,Anti-Jackson,72,0.1875,0.2525,0.18865277777777778,0.27387500000000004
23,Senate,44,Nullifier,2,-0.0805,-0.061999999999999986,-0.0805,-0.061999999999999986
23,Senate,555,Jackson,25,-0.274,-0.021,-0.30032,0.11123999999999999
23,Senate,1275,Anti-Jackson,29,0.384,0.18,0.3120344827586207,0.13972413793103447
24,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
24,House,26,Anti Masonic,16,0.356,-0.0805,0.34900000000000003,-0.14437499999999998
24,House,29,Whig,2,0.17049999999999998,0.199,0.17049999999999998,0.199
24,House,44,Nullifier,8,-0.4585,0.86,-0.45099999999999996,0.8098750000000001
24,House,555,Jackson,149,,,-0.2967027027027027,-0.3120337837837838
24,House,1275,Anti-Jackson,80,0.0805,0.314,0.07711249999999999,0.31948750000000004
24,Senate,44,Nullifier,2,-0.0805,-0.061999999999999986,-0.0805,-0.061999999999999986
24,Senate,555,Jackson,34,-0.344,-0.009500000000000001,-0.37852941176470595,0.07197058823529412
24,Senate,1275,Anti-Jackson,27,0.274,0.18,0.25718518518518524,0.166962962962963
25,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
25,House,26,Anti Masonic,7,0.398,-0.146,0.37014285714285716,-0.13328571428571429
25,House,29,Whig,110,0.1745,0.2525,0.1219090909090909,0.27208181818181815
25,House,44,Nullifier,6,-0.5095000000000001,0.8155,-0.5071666666666667,0.7378333333333332
25,House,100,Democrat,134,,,-0.29730827067669174,-0.3626315789473684
25,House,328,Independent,1,-0.065,0.368,-0.065,0.368
25,Senate,29,Whig,19,0.181,0.181,0.21010526315789474,0.2663684210526316
25,Senate,100,Democrat,40,-0.34099999999999997,-0.1245,-0.364825,-0.038925
26,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
26,House,26,Anti Masonic,6,0.3815,-0.2285,0.36766666666666664,-0.17750000000000002
26,House,29,Whig,121,,,0.122775,0.29035833333333333
26,House,100,Democrat,128,-0.297,-0.452,-0.32103125,-0.3693671875
26,House,112,Conservative,2,-0.35250000000000004,0.2905,-0.35250000000000004,0.2905
26,Senate,29,Whig,28,0.251,0.174,0.20732142857142857,0.2530714285714286
26,Senate,100,Democrat,32,-0.3695,-0.16949999999999998,-0.39009375,-0.10268749999999999
27,President,29,Whig,2,,,0.251,-0.968
27,House,29,Whig,151,0.179,0.176,0.14056953642384104,0.26105960264900663
27,House,100,Democrat,106,-0.3475,-0.3345,-0.3637735849056604,-0.267311320754717
27,House,328,Independent,1,-0.576,0.749,-0.576,0.749
27,House,329,Ind. Democrat,1,-0.109,-0.17,-0.109,-0.17
27,Senate,29,Whig,34,0.251,0.2595,0.19973529411764707,0.24435294117647058
27,Senate,100,Democrat,25,-0.373,-0.161,-0.40524,-0.13648
28,President,29,Whig,1,0.251,-0.968,0.251,-0.968
28,House,29,Whig,80,0.251,0.21250000000000002,0.1713625,0.23803749999999999
28,House,100,Democrat,152,,,-0.2981933333333333,-0.25351999999999997
28,House,329,Ind. Democrat,1,0.172,0.042,0.172,0.042
28,House,403,Law and Order,2,0.1765,0.1645,0.1765,0.1645
28,House,603,Ind. Whig,1,-0.092,0.545,-0.092,0.545
28,Senate,29,Whig,29,0.216,0.25,0.1694137931034483,0.24172413793103448
28,Senate,100,Democrat,30,-0.412,-0.2215,-0.42193333333333344,-0.12196666666666664
28,Senate,403,Law and Order,1,0.353,-0.355,0.353,-0.355
29,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
29,House,29,Whig,84,,,0.17432926829268292,0.25303658536585366
29,House,100,Democrat,150,-0.29,-0.2235,-0.32852,-0.21963999999999997
29,House,310,American,6,0.14500000000000002,0.037,0.1285,0.06483333333333334
29,Senate,29,Whig,26,0.28049999999999997,0.2235,0.24465384615384617,0.24496153846153845
29,Senate,100,Democrat,39,-0.43,-0.082,-0.428897435897436,-0.015435897435897435
29,Senate,1111,Liberty,1,0.907,0.29,0.907,0.29
30,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
30,House,29,Whig,119,,,0.19735042735042732,0.1947435897435897
30,House,100,Democrat,115,,,-0.3487280701754386,-0.214078947368421
30,House,310,American,1,0.013,0.24,0.013,0.24
30,House,328,Independent,1,0.552,-0.598,0.552,-0.598
30,House,329,Ind. Democrat,2,-0.129,-0.493,-0.129,-0.493
30,Senate,29,Whig,24,0.2115,0.248,0.20479166666666662,0.3165833333333334
30,Senate,100,Democrat,47,-0.398,-0.175,-0.38085106382978723,-0.175
30,Senate,329,Ind. Democrat,1,0.11,-0.8,0.11,-0.8
31,President,29,Whig,2,,,,
31,House,29,Whig,113,0.298,0.154,0.23916814159292038,0.18515929203539824
31,House,100,Democrat,120,,,-0.3865882352941177,-0.17901680672268908
31,House,300,Free Soil,9,0.425,-0.812,0.3874444444444445,-0.8141111111111111
31,House,310,American,1,0.013,0.24,0.013,0.24
31,House,328,Independent,1,0.013,0.246,0.013,0.246
31,Senate,29,Whig,29,,,0.18642857142857144,0.31889285714285714
31,Senate,100,Democrat,40,-0.377,-0.151,-0.374,-0.1298
31,Senate,300,Free Soil,2,0.2125,-0.8745,0.2125,-0.8745
32,President,29,Whig,1,,,,
32,House,29,Whig,89,0.289,0.149,0.2472359550561798,0.09784269662921348
32,House,46,States Rights,3,-0.421,0.087,-0.4513333333333333,0.06866666666666667
32,House,100,Democrat,129,-0.303,-0.163,-0.30511627906976746,-0.18642635658914727
32,House,300,Free Soil,4,0.47750000000000004,-0.8045,0.4525,-0.792
32,House,329,Ind. Democrat,3,-0.23,0.037,-0.17500000000000002,-0.010666666666666677
32,House,603,Ind. Whig,1,0.022,0.735,0.022,0.735
32,House,4444,Union,10,-0.40700000000000003,0.33699999999999997,-0.40840000000000004,0.308
32,Senate,29,Whig,26,0.102,0.2965,0.09450000000000001,0.3755769230769231
32,Senate,100,Democrat,44,-0.384,-0.051000000000000004,-0.37829545454545455,-0.11588636363636362
32,Senate,300,Free Soil,3,0.315,-0.8,0.25566666666666665,-0.6643333333333333
33,President,100,Democrat,1,0.256,0.132,0.256,0.132
33,House,29,Whig,77,,,0.19164473684210526,-0.06607894736842108
33,House,100,Democrat,159,,,-0.3002356687898089,-0.1073312101910828
33,House,300,Free Soil,4,0.294,-0.497,0.27599999999999997,-0.47725
33,House,328,Independent,1,0.103,-0.224,0.103,-0.224
33,House,329,Ind. Democrat,1,-0.214,-0.053,-0.214,-0.053
33,Senate,29,Whig,23,0.03,0.373,0.07056521739130435,0.37969565217391316
33,Senate,100,Democrat,42,-0.384,0.008,-0.3622142857142857,-0.09090476190476189
33,Senate,300,Free Soil,4,0.4305,-0.5615,0.4705,-0.579
33,Senate,310,American,1,0.332,-0.22,0.332,-0.22
34,President,100,Democrat,1,0.256,0.132,0.256,0.132
34,House,100,Democrat,85,-0.432,-0.076,-0.39656470588235293,-0.057294117647058815
34,House,200,Republican,1,0.549,-0.683,0.549,-0.683
34,House,310,American,52,0.0275,0.1605,0.10148076923076925,0.12184615384615387
34,House,3333,Opposition,100,,,0.29087878787878785,-0.3219090909090909
34,Senate,100,Democrat,39,-0.405,0.033,-0.38038461538461543,0.009051282051282047
34,Senate,200,Republican,1,0.343,-0.291,0.343,-0.291
34,Senate,310,American,1,-0.361,-0.056,-0.361,-0.056
34,Senate,3333,Opposition,23,,,0.13822727272727275,0.08640909090909088
35,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
35,House,100,Democrat,136,,,-0.375562962962963,0.0852814814814815
35,House,200,Republican,94,0.3225,-0.367,0.32980851063829786,-0.39952127659574477
35,House,310,American,15,-0.072,0.343,-0.07539999999999998,0.36800000000000005
35,House,329,Ind. Democrat,2,-0.0965,0.08700000000000001,-0.0965,0.08700000000000001
35,Senate,100,Democrat,47,-0.421,0.137,-0.4084255319148937,0.1286595744680851
35,Senate,200,Republican,21,0.268,-0.228,0.2509523809523809,-0.35861904761904756
35,Senate,310,American,5,-0.08,0.453,-0.14579999999999999,0.40519999999999995
36,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
36,House,100,Democrat,87,-0.437,-0.006,-0.4258620689655173,0.04245977011494253
36,House,108,Anti-Lecompton Democrat,8,-0.0019999999999999996,-0.09949999999999999,-0.010249999999999995,-0.075625
36,House,200,Republican,119,,,0.2945254237288136,-0.3015254237288137
36,House,310,American,5,0.068,0.512,0.0242,0.5722
36,House,329,Ind. Democrat,7,-0.425,0.397,-0.3871428571428571,0.24300000000000002
36,House,3334,Opposition,19,-0.091,0.156,-0.11205263157894736,0.2164736842105263
36,Senate,100,Democrat,41,-0.445,0.101,-0.43258536585365864,0.06597560975609755
36,Senate,200,Republican,27,0.244,-0.244,0.23907407407407402,-0.373
36,Senate,310,American,2,-0.108,0.4395,-0.108,0.4395
37,President,200,Republican,1,0.431,0.902,0.431,0.902
37,House,37,Constitutional Unionist,2,0.0335,0.595,0.0335,0.595
37,House,100,Democrat,52,,,-0.23278431372549016,0.3102549019607843
37,House,200,Republican,114,0.3165,-0.2445,0.30658771929824563,-0.24439473684210525
37,House,206,Unionist,32,,,0.004935483870967746,0.37877419354838715
37,House,329,Ind. Democrat,1,-0.334,0.942,-0.334,0.942
37,House,4444,Union,2,0.138,0.5740000000000001,0.138,0.5740000000000001
37,Senate,100,Democrat,29,-0.421,0.114,-0.3931724137931034,0.10144827586206898
37,Senate,200,Republican,37,,,0.19974999999999998,-0.3460833333333333
37,Senate,206,Unionist,8,-0.183,0.208,-0.14700000000000002,0.07175
38,President,200,Republican,1,0.431,0.902,0.431,0.902
38,House,100,Democrat,75,,,-0.28771621621621624,0.15677027027027027
38,House,200,Republican,86,0.3465,-0.135,0.34789534883720924,-0.09426744186046511
38,House,203,Unconditional Unionist,18,0.21600000000000003,0.2695,0.1797777777777778,0.13805555555555554
38,House,206,Unionist,9,-0.122,0.56,-0.19144444444444442,0.23166666666666666
38,House,331,Ind. Republican,2,0.09849999999999999,-0.5075,0.09849999999999999,-0.5075
38,Senate,100,Democrat,11,-0.303,0.265,-0.2961818181818182,0.2915454545454546
38,Senate,200,Republican,34,0.27,-0.1375,0.2506470588235294,-0.20961764705882352
38,Senate,203,Unconditional Unionist,5,0.025,-0.037,0.0244,-0.092
38,Senate,206,Unionist,5,,,-0.185,0.36125000000000007
39,President,200,Republican,2,,,0.431,0.902
39,House,100,Democrat,44,-0.33799999999999997,0.2315,-0.3575,0.16843181818181815
39,House,200,Republican,138,,,0.30347445255474453,-0.13172992700729927
39,House,203,Unconditional Unionist,14,0.1305,0.1755,0.10778571428571428,0.14114285714285715
39,House,206,Unionist,5,-0.255,-0.115,-0.25020000000000003,-0.06020000000000001
39,House,331,Ind. Republican,1,0.371,-0.596,0.371,-0.596
39,Senate,100,Democrat,11,-0.275,0.182,-0.2940909090909091,0.17527272727272727
39,Senate,200,Republican,44,0.27,-0.078,0.23495454545454544,-0.13868181818181816
39,Senate,203,Unconditional Unionist,3,0.025,0.278,0.05566666666666667,0.3866666666666667
39,Senate,206,Unionist,1,-0.289,0.45,-0.289,0.45
40,President,200,Republican,1,,,,
40,House,100,Democrat,51,,,-0.3675999999999999,0.1506
40,House,112,Conservative,2,-0.034,0.3385,-0.034,0.3385
40,House,200,Republican,178,0.3105,-0.1045,0.30985955056179776,-0.12483707865168539
40,House,331,Ind. Republican,2,0.20799999999999996,0.06749999999999999,0.20799999999999996,0.06749999999999999
40,House,1116,Conservative Republican,1,0.068,0.95,0.068,0.95
40,Senate,100,Democrat,12,-0.4275,0.11649999999999999,-0.42799999999999994,0.08916666666666667
40,Senate,200,Republican,57,0.286,0.059,0.2555614035087719,0.09624561403508773
41,President,200,Republican,1,0.18,0.018,0.18,0.018
41,House,100,Democrat,72,-0.372,-0.025,-0.3678611111111112,0.056375
41,House,112,Conservative,6,-0.13299999999999998,0.442,-0.20516666666666664,0.3221666666666667
41,House,200,Republican,180,0.3255,-0.092,0.32267222222222225,-0.10814444444444445
41,Senate,100,Democrat,13,-0.42,-0.136,-0.4483846153846154,-0.09353846153846154
41,Senate,200,Republican,67,,,0.26113636363636367,0.08486363636363638
42,President,200,Republican,1,0.18,0.018,0.18,0.018
42,House,100,Democrat,106,-0.349,-0.018000000000000002,-0.3447264150943396,0.0011320754716981083
42,House,200,Republican,143,,,0.3239154929577465,-0.09351408450704225
42,House,208,Liberal Republican,4,-0.057,0.024500000000000022,-0.156,0.05350000000000002
42,House,331,Ind. Republican,1,0.467,0.639,0.467,0.639
42,Senate,100,Democrat,18,-0.4555,-0.236,-0.45788888888888896,-0.22144444444444444
42,Senate,200,Republican,56,0.2845,0.0445,0.26771428571428574,0.04637500000000001
42,Senate,208,Liberal Republican,1,0.022,-0.343,0.022,-0.343
43,President,200,Republican,1,0.18,0.018,0.18,0.018
43,House,100,Democrat,95,,,-0.3771382978723404,-0.026585106382978726
43,House,200,Republican,206,,,0.31739705882352937,-0.0945637254901961
43,House,208,Liberal Republican,4,,,-0.129,-0.0386666666666667
43,House,329,Ind. Democrat,1,-0.556,0.011,-0.556,0.011
43,House,331,Ind. Republican,1,0.223,-0.812,0.223,-0.812
43,Senate,100,Democrat,21,-0.42,-0.139,-0.48161904761904767,-0.19785714285714287
43,Senate,200,Republican,51,0.285,0.124,0.27466666666666667,0.08366666666666667
43,Senate,208,Liberal Republican,7,0.122,-0.343,0.14857142857142858,-0.21885714285714286
44,President,200,Republican,1,0.18,0.018,0.18,0.018
44,House,100,Democrat,189,,,-0.35573262032085556,-0.13332620320855615
44,House,200,Republican,111,0.364,-0.155,0.36216216216216224,-0.13411711711711713
44,House,328,Independent,4,0.019500000000000003,0.506,0.024749999999999994,0.3195
44,House,329,Ind. Democrat,1,-0.256,0.246,-0.256,0.246
44,House,331,Ind. Republican,4,0.3645,-0.56,0.37925,-0.4635
44,Senate,100,Democrat,34,,,-0.44569696969696976,-0.0896060606060606
44,Senate,200,Republican,47,0.274,0.106,0.25251063829787235,0.07763829787234043
44,Senate,331,Ind. Republican,1,0.104,-0.118,0.104,-0.118
45,President,200,Republican,1,,,,
45,House,100,Democrat,158,-0.3765,-0.084,-0.3734240506329114,-0.15486075949367087
45,House,200,Republican,143,0.379,-0.091,0.3680349650349651,-0.09222377622377623
45,House,329,Ind. Democrat,2,-0.349,0.0595,-0.349,0.0595
45,Senate,100,Democrat,38,-0.4175,-0.037000000000000005,-0.43657894736842107,-0.11352631578947368
45,Senate,200,Republican,43,0.274,0.13,0.2665581395348837,0.10606976744186049
45,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
46,President,200,Republican,1,,,,
46,House,100,Democrat,146,,,-0.3909862068965518,-0.04934482758620689
46,House,200,Republican,135,0.399,-0.129,0.39489629629629636,-0.12807407407407406
46,House,326,National Greenbacker,13,-0.036,0.992,-0.012461538461538465,0.8143076923076923
46,House,329,Ind. Democrat,7,,,-0.35333333333333333,0.16283333333333336
46,Senate,100,Democrat,45,-0.43,-0.039,-0.4526,-0.11675555555555554
46,Senate,200,Republican,35,0.286,0.059,0.29534285714285713,-0.027171428571428576
46,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
47,President,200,Republican,2,,,0.095,-0.995
47,House,100,Democrat,137,,,-0.39497794117647056,-0.06818382352941177
47,House,117,Readjuster Democrat,2,-0.008999999999999994,0.4875,-0.008999999999999994,0.4875
47,House,200,Republican,160,,,0.3877358490566038,-0.05075471698113208
47,House,326,National Greenbacker,10,0.0315,0.9915,0.013100000000000004,0.8629
47,House,328,Independent,1,0.259,-0.291,0.259,-0.291
47,House,329,Ind. Democrat,1,-0.165,0.087,-0.165,0.087
47,Senate,100,Democrat,38,-0.4335,0.007500000000000001,-0.4488157894736842,-0.05276315789473685
47,Senate,114,Readjuster,1,0.397,0.296,0.397,0.296
47,Senate,200,Republican,45,0.314,-0.158,0.31475555555555557,-0.11304444444444446
47,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
48,President,200,Republican,1,0.095,-0.995,0.095,-0.995
48,House,100,Democrat,203,-0.337,-0.062,-0.34691625615763544,-0.05284236453201971
48,House,114,Readjuster,6,,,0.31620000000000004,-0.1822
48,House,200,Republican,126,,,0.37748800000000005,0.0018240000000000018
48,House,326,National Greenbacker,3,-0.218,0.6,-0.06266666666666666,0.556
48,House,328,Independent,2,-0.178,-0.1455,-0.178,-0.1455
48,House,329,Ind. Democrat,3,-0.042,0.112,-0.20833333333333334,0.272
48,House,331,Ind. Republican,1,0.133,-0.991,0.133,-0.991
48,Senate,100,Democrat,36,-0.4335,-0.052,-0.4494444444444444,-0.09166666666666663
48,Senate,114,Readjuster,2,0.20400000000000001,0.23349999999999999,0.20400000000000001,0.23349999999999999
48,Senate,200,Republican,40,0.308,-0.2515,0.311025,-0.192675
49,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
49,House,100,Democrat,188,,,-0.36570588235294116,-0.09301069518716577
49,House,200,Republican,143,0.391,0.022,0.38361538461538464,0.05334265734265734
49,House,326,National Greenbacker,1,-0.078,0.997,-0.078,0.997
49,House,329,Ind. Democrat,1,-0.181,-0.966,-0.181,-0.966
49,Senate,100,Democrat,39,-0.43,-0.071,-0.4458205128205128,-0.12566666666666665
49,Senate,200,Republican,45,0.288,-0.218,0.29806666666666665,-0.15866666666666665
50,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
50,House,100,Democrat,171,,,-0.3702529411764706,-0.19561764705882353
50,House,200,Republican,154,,,0.39464052287581697,0.046895424836601314
50,House,326,National Greenbacker,1,-0.078,0.997,-0.078,0.997
50,House,328,Independent,1,0.337,0.016,0.337,0.016
50,House,331,Ind. Republican,2,0.177,0.9764999999999999,0.177,0.9764999999999999
50,House,355,Union,2,-0.156,0.7065,-0.156,0.7065
50,Senate,100,Democrat,37,-0.457,-0.071,-0.4588378378378378,-0.1230810810810811
50,Senate,200,Republican,40,0.287,-0.23049999999999998,0.28857499999999997,-0.17850000000000002
51,President,200,Republican,1,0.268,-0.182,0.268,-0.182
51,House,100,Democrat,170,,,-0.38360946745562136,-0.22989349112426033
51,House,200,Republican,184,0.408,0.0555,0.41166847826086966,0.09103804347826086
51,House,356,Union Labor,1,0.181,0.139,0.181,0.139
51,Senate,100,Democrat,38,-0.447,-0.07849999999999999,-0.4528421052631579,-0.12407894736842105
51,Senate,200,Republican,53,0.304,-0.183,0.3122264150943397,-0.10445283018867928
52,President,200,Republican,1,0.268,-0.182,0.268,-0.182
52,House,100,Democrat,248,,,-0.3414574898785425,-0.2368663967611336
52,House,200,Republican,91,,,0.4249213483146068,0.04412359550561798
52,House,340,Populist,8,-0.159,0.9864999999999999,-0.166125,0.983625
52,Senate,100,Democrat,45,-0.43,-0.086,-0.44111111111111106,-0.18468888888888887
52,Senate,200,Republican,49,0.305,-0.187,0.3106530612244898,-0.11573469387755103
52,Senate,340,Populist,2,-0.083,0.7395,-0.083,0.7395
53,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
53,House,100,Democrat,229,,,-0.35149561403508767,-0.20302631578947364
53,House,200,Republican,135,,,0.43984210526315787,-0.0009548872180451044
53,House,329,Ind. Democrat,2,-0.21650000000000003,-0.738,-0.21650000000000003,-0.738
53,House,340,Populist,11,-0.16,0.986,-0.16463636363636366,0.8920909090909089
53,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
53,Senate,100,Democrat,48,-0.4265,-0.0235,-0.4382291666666667,-0.15839583333333332
53,Senate,200,Republican,44,0.3115,-0.185,0.323,-0.1310227272727273
53,Senate,340,Populist,3,-0.108,0.977,-0.12666666666666668,0.8186666666666667
53,Senate,1060,Silver,1,0.252,0.215,0.252,0.215
54,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
54,House,100,Democrat,107,,,-0.42202912621359223,-0.10036893203883494
54,House,200,Republican,255,,,0.41604347826086957,0.03907114624505927
54,House,340,Populist,9,-0.158,0.974,-0.11233333333333334,0.8963333333333333
54,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
54,Senate,100,Democrat,40,-0.41400000000000003,-0.10550000000000001,-0.42285000000000006,-0.173075
54,Senate,200,Republican,44,0.3215,-0.1525,0.34618181818181815,-0.09086363636363637
54,Senate,340,Populist,4,-0.161,0.976,-0.15025,0.85775
54,Senate,1060,Silver,2,0.22799999999999998,0.2235,0.22799999999999998,0.2235
55,President,200,Republican,1,0.232,0.372,0.232,0.372
55,House,100,Democrat,132,-0.396,0.122,-0.3891363636363636,0.0620909090909091
55,House,200,Republican,212,0.4345,-0.047,0.43042924528301874,-0.041589622641509436
55,House,331,Ind. Republican,1,0.443,-0.085,0.443,-0.085
55,House,340,Populist,22,-0.2535,0.951,-0.24931818181818183,0.9162272727272728
55,House,354,Silver Republican,3,-0.198,0.465,-0.113,0.39266666666666666
55,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
55,Senate,100,Democrat,38,,,-0.426054054054054,-0.12613513513513513
55,Senate,200,Republican,46,0.374,-0.303,0.381108695652174,-0.29484782608695653
55,Senate,340,Populist,5,-0.214,0.968,-0.191,0.8354000000000001
55,Senate,354,Silver Republican,5,0.095,0.825,0.06659999999999999,0.7901999999999999
55,Senate,1060,Silver,2,0.22799999999999998,0.2235,0.22799999999999998,0.2235
56,President,200,Republican,1,0.232,0.372,0.232,0.372
56,House,100,Democrat,170,,,-0.3644378698224852,-0.04897633136094674
56,House,200,Republican,197,0.442,-0.005,0.4372639593908629,-0.009670050761421316
56,House,340,Populist,7,-0.298,0.954,-0.3284285714285714,0.8594285714285714
56,House,354,Silver Republican,2,-0.124,0.2495,-0.124,0.2495
56,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
56,Senate,100,Democrat,28,-0.4325,-0.061000000000000006,-0.41807142857142854,-0.09689285714285716
56,Senate,200,Republican,57,,,0.39685714285714285,-0.2184642857142857
56,Senate,340,Populist,5,-0.214,0.968,-0.191,0.8354000000000001
56,Senate,354,Silver Republican,3,0.071,0.825,0.026999999999999996,0.769
56,Senate,1060,Silver,2,0.22799999999999998,0.2235,0.22799999999999998,0.2235
57,President,200,Republican,2,0.3175,0.425,0.3175,0.425
57,House,100,Democrat,161,,,-0.36856875,0.01243125
57,House,200,Republican,206,0.4435,-0.0635,0.44768932038834947,-0.04515048543689321
57,House,340,Populist,5,-0.284,0.542,-0.2814,0.524
57,House,354,Silver Republican,1,-0.198,0.121,-0.198,0.121
57,Senate,100,Democrat,32,-0.397,-0.011000000000000001,-0.37375,-0.01946875000000001
57,Senate,200,Republican,60,0.4015,-0.295,0.39941666666666664,-0.19036666666666666
57,Senate,340,Populist,2,-0.188,0.8765000000000001,-0.188,0.8765000000000001
58,President,200,Republican,1,0.403,0.478,0.403,0.478
58,House,100,Democrat,182,,,-0.3638522727272728,-0.039823863636363636
58,House,200,Republican,215,,,0.4496869158878505,-0.0060981308411215025
58,House,331,Ind. Republican,3,0.58,-0.808,0.585,-0.7813333333333333
58,Senate,100,Democrat,33,-0.39,-0.144,-0.36054545454545456,-0.14130303030303032
58,Senate,200,Republican,60,0.435,-0.295,0.43371666666666664,-0.19931666666666664
59,President,200,Republican,1,0.403,0.478,0.403,0.478
59,House,100,Democrat,141,,,-0.3797753623188405,-0.038789855072463776
59,House,200,Republican,262,,,0.4447374517374517,-0.03572586872586873
59,Senate,100,Democrat,35,-0.395,-0.144,-0.3672,-0.13022857142857144
59,Senate,200,Republican,63,,,0.4358852459016394,-0.15665573770491806
60,President,200,Republican,1,0.403,0.478,0.403,0.478
